Pays;CODE;Cat;Nom;Fréquence;Altitude;Latitude;Longitude;
LF;LFKB/N1;PtRep;Bastia Tour le Losse;;60;42.8611;9.48083;
LF;LFKB/SA;PtRep;Bastia Tr Sud Centrale Lucciana;;110;42.5222;9.44389;
LF;LFKB/N;PtRep;Bastia Trav. Port;;1;42.7028;9.46333;
LF;LFKB/SW;PtRep;Bastia Us. Barchetta;;300;42.5083;9.37167;
LF;LFOB/SW;PtRep;Beauvais A16 (Tr W Relais Bois de la Molle);;750;49.3239;2.08;
LF;LFOB/N;PtRep;Beauvais A16/N1 (Bois St-Martin);;500;49.5236;2.1875;
LF;LFOB/S;PtRep;Beauvais Allone (Ech A16);;300;49.3978;2.12889;
LF;LFOB/WB;PtRep;Beauvais Goincourt;;250;49.4278;2.03972;
LF;LFOB/SE;PtRep;Beauvais Noailles (N1/D2/D44);;300;49.3292;2.2;
LF;LFOB/W;PtRep;Beauvais Pont N31;;350;49.4194;1.9375;
LF;LFBE/S;PtRep;Bergerac Castillonès Chap.;;350;44.6517;0.6;
LF;LFBE/NA;PtRep;Bergerac Ch Eau Pélissous;;410;44.8756;0.548611;
LF;LFBE/SA;PtRep;Bergerac Colombier Ch D'eau;;560;44.7753;0.521944;
LF;LFBE/NW;PtRep;Bergerac D709 / Hte Tension;;280;44.9314;0.430278;
LF;LFBE/SW;PtRep;Bergerac Eymet Église;;170;44.6678;0.396389;
LF;LFBE/SE;PtRep;Bergerac Issigeac;;370;44.7303;0.607222;
LF;LFBE/NE;PtRep;Bergerac RN21/Hte Tens.;;300;44.9194;0.560833;
LF;LFMU/SE;PtRep;Béziers Cap d'Agde;;1;43.2706;3.50583;
LF;LFMU/CG;PtRep;Béziers Capestang;;100;43.3311;3.04167;
LF;LFMU/AD;PtRep;Béziers Embouchure Aude;;1;43.2128;3.24;
LF;LFMU/NB;PtRep;Béziers Lieuran les Béziers;;210;43.4206;3.23694;
LF;LFMU/PZ;PtRep;Béziers Pézenas;;50;43.4747;3.44528;
LF;LFMU/MZ;PtRep;Béziers ZI NW Mèze Autor.;;80;43.4425;3.57611;
LF;LFBZ/BG;PtRep;Biarritz Bec du Gave Adour/Gave;;10;43.5461;-1.195;
LF;LFBZ/SE;PtRep;Biarritz Cambo Arnaga;;150;43.3678;-1.4225;
LF;LFBZ/NE;PtRep;Biarritz Château d'Eau;;160;43.5197;-1.4025;
LF;LFBZ/S;PtRep;Biarritz Colline Sainte Barbe;;410;43.4172;-1.49472;
LF;LFBZ/NA;PtRep;Biarritz Embouch. Adour;;1;43.5303;-1.52361;
LF;LFBZ/SH;PtRep;Biarritz Hasparren;;450;43.385;-1.305;
LF;LFBZ/E;PtRep;Biarritz Inter D936/A64;;30;43.4667;-1.28694;
LF;LFBZ/SW;PtRep;Biarritz N. Baie Saint Jean de Luz;;1;43.3994;-1.66444;
LF;LFBZ/NC;PtRep;Biarritz Phare Cap Breton;;1;43.6558;-1.44833;
LF;LFBZ/NP;PtRep;Biarritz Phare de Biarritz;;65;43.4928;-1.5525;
LF;LFBZ/SB;PtRep;Biarritz Plage de Bidart;;1;43.4369;-1.59694;
LF;LFBS/O2;PtRep;Biscarosse 1NM Est Bisc. Plage;;200;44.45;-1.225;
LF;LFBS/OS;PtRep;Biscarosse Nord Ville Bisc.;;90;44.4167;-1.15;
LF;LFBD/SW;PtRep;Bordeaux Ant. Croix d'Hins;;210;44.7042;-0.77;
LF;LFBD/N;PtRep;Bordeaux Castelnau de Méd.;;70;45.0289;-0.796944;
LF;LFBD/EA;PtRep;Bordeaux D1215/D1 Le Taillan;;30;44.8936;-0.668889;
LF;LFBD/SE;PtRep;Bordeaux Ile de la Lande;;10;44.7458;-0.504167;
LF;LFBD/NE;PtRep;Bordeaux Macau;;30;45.0083;-0.6125;
LF;LFBD/S;PtRep;Bordeaux N1010 D214 La Birade;;200;44.7167;-0.690278;
LF;LFBD/NA;PtRep;Bordeaux N1215/D6 Saint Médard;;140;44.9075;-0.747222;
LF;LFBD/NW;PtRep;Bordeaux Sainte Hélène;;140;44.9756;-0.880833;
LF;LFBD/OA;PtRep;Bordeaux Us. Déchetterie;;185;44.7697;-0.771111;
LF;LFBD/SA;PtRep;Bordeaux Usine Gazinet;;190;44.775;-0.691667;
LF;LFRB/LF;PtRep;Brest 1,5 Nm SE Le Faou (Ax);;500;48.2833;-4.13333;
LF;LFRB/PA;PtRep;Brest Ch eau Plabennec;;280;48.5042;-4.42278;
LF;LFRB/SG;PtRep;Brest Daoulas;;100;48.37;-4.26111;
LF;LFRB/NWL;PtRep;Brest Kerdroc Croisement;;165;48.6103;-4.37889;
LF;LFRB/NG;PtRep;Brest Lannilis;;110;48.5667;-4.52833;
LF;LFRB/LC;PtRep;Brest Le Conquet;;30;48.365;-4.78361;
LF;LFRB/K;PtRep;Brest Le Relecq Kerhuon;;70;48.4067;-4.37417;
LF;LFRB/SWL;PtRep;Brest Pencran Golf;;450;48.4167;-4.2;
LF;LFRB/WG;PtRep;Brest Saint Renan;;200;48.4297;-4.61722;
LF;LFSL/N;PtRep;Brive Souillac A3/N89;;370;45.1472;1.48528;
LF;LFSL/W;PtRep;Brive Souillac Ch. Salignac;;850;44.975;1.32694;
LF;LFSL/NA;PtRep;Brive Souillac Ech. A20 Noailles;;750;45.0986;1.52;
LF;LFSL/S;PtRep;Brive Souillac Ech. A20 Souillac;;550;44.9017;1.50111;
LF;LFSL/E;PtRep;Brive Souillac Martel;;800;44.9369;1.60889;
LF;LFSL/SA;PtRep;Brive Souillac Péage A20;;930;44.9906;1.52667;
LF;LFRK/SC;PtRep;Caen Ch. D'eau Evrecy;;230;49.0992;-0.512222;
LF;LFRK/EK;PtRep;Caen Cimenterie Ranville;;80;49.2239;-0.275556;
LF;LFRK/SK;PtRep;Caen Orne NW Thury-Harcourt;;220;48.9939;-0.475556;
